"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.65558400059473e-08,0.967315038902019,0.446,0.267,0.000504572193984456,"0","IGLC2"
4.86710184243432e-08,0.710222709328157,0.499,0.313,0.000527496497683032,"0","EEF1A1"
1.37632878737354e-06,0.519107786246675,0.594,0.423,0.0149166513975544,"0","HLA-B"
2.13937254709328e-06,0.674734782457247,0.374,0.212,0.0231865196653969,"0","RPS27"
3.54821848654697e-06,0.460105960344661,0.503,0.342,0.038455591957196,"0","IGHG3"
4.41151787963378e-06,0.466484872907365,0.456,0.293,0.0478120307794709,"0","RPL30"
5.08791549099073e-06,0.829683440666591,0.322,0.176,0.0551428280913575,"0","RPS27A"
5.33379106406145e-06,0.488646522831524,0.62,0.456,0.057807627552298,"0","TMSB10"
1.08885783803105e-05,0.725926792075601,0.281,0.147,0.118010412485805,"0","RPL31"
1.24421665967826e-05,0.720632492406088,0.334,0.195,0.134848201575929,"0","MYL6"
1.36503975290764e-05,0.79402430845901,0.328,0.195,0.14794300842013,"0","RPS16"
2.02024777770261e-05,0.480393301482378,0.472,0.316,0.218954454147409,"0","RPLP2"
2.36504160085891e-05,0.601473002740479,0.472,0.319,0.256323208701089,"0","HLA-A"
2.71156116788916e-05,0.455798048054049,0.594,0.463,0.293878999375827,"0","B2M"
3.75896442716186e-05,0.58170560913567,0.434,0.293,0.407396564615802,"0","RPL4"
3.80879397871601e-05,0.361064901182903,0.531,0.371,0.412797091413242,"0","RPLP1"
4.00308757945793e-05,0.620298647304586,0.35,0.212,0.433854631861651,"0","RPL17"
6.49822323203204e-05,0.486306926515194,0.374,0.235,0.704277433887632,"0","RPS28"
0.000109732054899236,0.348543971899448,0.7,0.56,1,"0","RPL28"
0.00011297082845215,0.562544636500061,0.311,0.189,1,"0","HLA-DRB1"
0.00012820923246974,0.337347051843728,0.512,0.358,1,"0","RPL41"
0.000160878482100705,0.5899043871331,0.285,0.166,1,"0","GAPDH"
0.000204710055834019,0.533040642189977,0.273,0.16,1,"0","RPS20"
0.000234674383979531,0.678753381886767,0.262,0.153,1,"0","RPLP0"
0.000327224051543974,0.313408656112866,0.45,0.309,1,"0","RPL39"
0.000328592548157127,0.527673067574794,0.331,0.221,1,"0","FTH1"
0.000433389485433913,0.306342863346992,0.588,0.45,1,"0","RPL13"
0.000499428093828832,0.536804523899332,0.297,0.186,1,"0","RPL9"
0.000502241365769947,0.452781070274518,0.377,0.254,1,"0","RPL37"
0.000599768261151907,0.545631253563714,0.353,0.244,1,"0","RPL32"
0.000630325643145902,0.655955576066825,0.251,0.153,1,"0","RPS4X"
0.000662933101828128,0.38468425552261,0.385,0.261,1,"0","RPS11"
0.000727911609356938,0.39583031934358,0.536,0.414,1,"0","RPL13A"
0.000812411199663847,0.404133623074789,0.463,0.352,1,"0","RPS8"
0.00106565844808106,0.339716553061287,0.476,0.342,1,"0","ACTG1"
0.0011532824869341,0.5167928283952,0.35,0.244,1,"0","IGHM"
0.00148193430768535,0.34689211127316,0.43,0.309,1,"0","RPS19"
0.00193353445866811,0.326290066966901,0.318,0.208,1,"0","EEF1G"
0.00211905209508653,0.420798168369343,0.358,0.254,1,"0","VIM"
0.00244710487216507,0.503083906055331,0.297,0.202,1,"0","RPS5"
0.00302960421729003,0.475412044774086,0.265,0.173,1,"0","PTMA"
0.00334662444592776,0.321536536996266,0.307,0.205,1,"0","RPL7"
0.00338308034132517,0.520256129348346,0.266,0.179,1,"0","RPL27A"
0.00444703526189269,0.384272292344229,0.256,0.169,1,"0","PFN1"
0.00447527776827211,0.464494490838309,0.328,0.238,1,"0","RPL36"
0.00600112922883554,0.349319693509804,0.316,0.228,1,"0","RPS18"
0.0061582018312803,0.346258966407497,0.362,0.27,1,"0","RPS15A"
0.00778385471227462,0.432180600680258,0.303,0.218,1,"0","RPL5"
0.00779105083619799,0.382408292650022,0.609,0.564,1,"0","CD74"
2.61772800149566e-05,0.717195857492449,0.384,0.262,0.283709360802099,"1","MALAT1"
0.00029387576715724,0.738052259293534,0.355,0.255,1,"1","S100A6"
